2023-07-28 11:25:13.8545|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7014 |url: |action: 
2023-07-28 11:25:13.8604|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5065 |url: |action: 
2023-07-28 11:25:13.8604|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-28 11:25:13.8604|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-28 11:25:13.8604|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /Users/sbucheaclaudiu/RiderProjects/SystemTicket/WebApplication1/ |url: |action: 
2023-07-28 11:25:23.8782|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|'Event' with id '32' was not found! |url: https://localhost/api/Event/Patch|action: Patch
2023-07-28 11:26:16.9915|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: 
2023-07-28 11:26:19.2952|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7014 |url: |action: 
2023-07-28 11:26:19.3011|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5065 |url: |action: 
2023-07-28 11:26:19.3013|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-28 11:26:19.3013|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-28 11:26:19.3013|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /Users/sbucheaclaudiu/RiderProjects/SystemTicket/WebApplication1/ |url: |action: 
2023-07-28 11:26:30.1333|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|'Event' with id '3232' was not found! |url: https://localhost/api/Event/Patch|action: Patch
2023-07-28 11:26:51.1740|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: 
2023-07-28 11:26:53.1746|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7014 |url: |action: 
2023-07-28 11:26:53.1806|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5065 |url: |action: 
2023-07-28 11:26:53.1806|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-28 11:26:53.1813|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-28 11:26:53.1813|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /Users/sbucheaclaudiu/RiderProjects/SystemTicket/WebApplication1/ |url: |action: 
2023-07-28 11:27:00.6291|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|'Event' with id '2121' was not found! |url: https://localhost/api/Event/Delete|action: Delete
2023-07-28 11:27:09.3642|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|'Event' with id '21' was not found! |url: https://localhost/api/Order/Patch|action: Patch
2023-07-28 11:27:16.3935|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|'Event' with id '2121' was not found! |url: https://localhost/api/Order/Delete|action: Delete
2023-07-28 11:27:17.3066|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|'Event' with id '2121' was not found! |url: https://localhost/api/Order/Delete|action: Delete
2023-07-28 11:27:18.7304|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|'Event' with id '2121' was not found! |url: https://localhost/api/Order/Delete|action: Delete
2023-07-28 11:27:22.5242|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|'Event' with id '2121' was not found! |url: https://localhost/api/Order/Delete|action: Delete
